,pclass,sex,age,sibsp,parch,fare,embarked
312,1st,male,50.0,1,1,211.5,C
313,1st,male,27.0,0,2,211.5,C
314,1st,female,50.0,1,1,211.5,C
315,1st,female,21.0,0,0,26.55,S
316,1st,male,51.0,0,1,61.3792,C
317,1st,male,21.0,0,1,61.3792,C
318,1st,male,28.0,0,0,35.0,S
319,1st,female,31.0,0,0,134.5,C
320,1st,male,28.0,0,0,35.5,S
321,1st,male,62.0,0,0,26.55,S
322,1st,female,36.0,0,0,135.6333,C
323,2nd,male,30.0,1,0,24.0,C
324,2nd,female,28.0,1,0,24.0,C
325,2nd,male,30.0,0,0,13.0,S
326,2nd,male,18.0,0,0,11.5,S
327,2nd,male,25.0,0,0,10.5,S
328,2nd,male,34.0,1,0,26.0,S
329,2nd,female,36.0,1,0,26.0,S
330,2nd,male,57.0,0,0,13.0,S
331,2nd,male,18.0,0,0,11.5,S
332,2nd,male,23.0,0,0,10.5,S
333,2nd,female,36.0,0,0,13.0,S
334,2nd,male,28.0,0,0,10.5,S
335,2nd,male,51.0,0,0,12.525,S
336,2nd,male,32.0,1,0,26.0,S
337,2nd,female,19.0,1,0,26.0,S
338,2nd,male,28.0,0,0,26.0,S
339,2nd,male,1.0,2,1,39.0,S
340,2nd,female,4.0,2,1,39.0,S
341,2nd,female,12.0,2,1,39.0,S
342,2nd,female,36.0,0,3,39.0,S
343,2nd,male,34.0,0,0,13.0,S
344,2nd,female,19.0,0,0,13.0,S
345,2nd,male,23.0,0,0,13.0,S
346,2nd,male,26.0,0,0,13.0,S
347,2nd,male,42.0,0,0,13.0,S
348,2nd,male,27.0,0,0,13.0,S
349,2nd,female,24.0,0,0,13.0,S
350,2nd,female,15.0,0,2,39.0,S
351,2nd,male,60.0,1,1,39.0,S
352,2nd,female,40.0,1,1,39.0,S
353,2nd,female,20.0,1,0,26.0,S
354,2nd,male,25.0,1,0,26.0,S
355,2nd,female,36.0,0,0,13.0,S
356,2nd,male,25.0,0,0,13.0,S
357,2nd,male,42.0,0,0,13.0,S
358,2nd,female,42.0,0,0,13.0,S
359,2nd,male,0.8333,0,2,29.0,S
360,2nd,male,26.0,1,1,29.0,S
361,2nd,female,22.0,1,1,29.0,S
362,2nd,female,35.0,0,0,21.0,S
363,2nd,male,28.0,0,0,0.0,S
364,2nd,male,19.0,0,0,13.0,S
365,2nd,female,44.0,1,0,26.0,S
366,2nd,male,54.0,1,0,26.0,S
367,2nd,male,52.0,0,0,13.5,S
368,2nd,male,37.0,1,0,26.0,S
369,2nd,female,29.0,1,0,26.0,S
370,2nd,female,25.0,1,1,30.0,S
371,2nd,female,45.0,0,2,30.0,S
372,2nd,male,29.0,1,0,26.0,S
373,2nd,female,28.0,1,0,26.0,S
374,2nd,male,29.0,0,0,10.5,S
375,2nd,male,28.0,0,0,13.0,S
376,2nd,male,24.0,0,0,10.5,S
377,2nd,female,8.0,0,2,26.25,S
378,2nd,male,31.0,1,1,26.25,S
379,2nd,female,31.0,1,1,26.25,S
380,2nd,female,22.0,0,0,10.5,S
381,2nd,female,30.0,0,0,13.0,S
382,2nd,female,28.0,0,0,21.0,S
383,2nd,male,21.0,0,0,11.5,S
384,2nd,male,28.0,0,0,0.0,S
385,2nd,male,8.0,1,1,36.75,S
386,2nd,male,18.0,0,0,73.5,S
387,2nd,female,48.0,0,2,36.75,S
388,2nd,female,28.0,0,0,13.0,S
389,2nd,male,32.0,0,0,13.0,S
390,2nd,male,17.0,0,0,73.5,S
391,2nd,male,29.0,1,0,27.7208,C
392,2nd,female,24.0,1,0,27.7208,C
393,2nd,male,25.0,0,0,31.5,S
394,2nd,male,18.0,0,0,73.5,S
395,2nd,female,18.0,0,1,23.0,S
396,2nd,female,34.0,0,1,23.0,S
397,2nd,male,54.0,0,0,26.0,S
398,2nd,male,8.0,0,2,32.5,S
399,2nd,male,42.0,1,1,32.5,S
400,2nd,female,34.0,1,1,32.5,S
401,2nd,female,27.0,1,0,13.8583,C
402,2nd,female,30.0,1,0,13.8583,C
403,2nd,male,23.0,0,0,13.0,S
404,2nd,male,21.0,0,0,13.0,S
405,2nd,male,18.0,0,0,13.0,S
406,2nd,male,40.0,1,0,26.0,S
407,2nd,female,29.0,1,0,26.0,S
408,2nd,male,18.0,0,0,10.5,S
409,2nd,male,36.0,0,0,13.0,S
410,2nd,male,28.0,0,0,0.0,S
411,2nd,female,38.0,0,0,13.0,S
412,2nd,male,35.0,0,0,26.0,S
413,2nd,male,38.0,1,0,21.0,S
414,2nd,male,34.0,1,0,21.0,S
415,2nd,female,34.0,0,0,13.0,S
416,2nd,male,16.0,0,0,26.0,S
417,2nd,male,26.0,0,0,10.5,S
418,2nd,male,47.0,0,0,10.5,S
419,2nd,male,21.0,1,0,11.5,S
420,2nd,male,21.0,1,0,11.5,S
421,2nd,male,24.0,0,0,13.5,S
422,2nd,male,24.0,0,0,13.0,S
423,2nd,male,34.0,0,0,13.0,S
424,2nd,male,30.0,0,0,13.0,S
425,2nd,male,52.0,0,0,13.0,S
426,2nd,male,30.0,0,0,13.0,S
427,2nd,male,0.6667,1,1,14.5,S
428,2nd,female,24.0,0,2,14.5,S
429,2nd,male,44.0,0,0,13.0,S
430,2nd,female,6.0,0,1,33.0,S
431,2nd,male,28.0,0,1,33.0,S
432,2nd,male,62.0,0,0,10.5,S
433,2nd,male,30.0,0,0,10.5,S
434,2nd,female,7.0,0,2,26.25,S
435,2nd,male,43.0,1,1,26.25,S
436,2nd,female,45.0,1,1,26.25,S
437,2nd,female,24.0,1,2,65.0,S
438,2nd,female,24.0,1,2,65.0,S
439,2nd,male,49.0,1,2,65.0,S
440,2nd,female,48.0,1,2,65.0,S
441,2nd,female,55.0,0,0,16.0,S
442,2nd,male,24.0,2,0,73.5,S
443,2nd,male,32.0,2,0,73.5,S
444,2nd,male,21.0,2,0,73.5,S
445,2nd,female,18.0,1,1,13.0,S
446,2nd,female,20.0,2,1,23.0,S
447,2nd,male,23.0,2,1,11.5,S
448,2nd,male,36.0,0,0,13.0,S
449,2nd,female,54.0,1,3,23.0,S
450,2nd,male,50.0,0,0,13.0,S
451,2nd,male,44.0,1,0,26.0,S
452,2nd,female,29.0,1,0,26.0,S
453,2nd,male,21.0,0,0,73.5,S
454,2nd,male,42.0,0,0,13.0,S
455,2nd,male,63.0,1,0,26.0,S
456,2nd,female,60.0,1,0,26.0,S
457,2nd,male,33.0,0,0,12.275,S
458,2nd,female,17.0,0,0,10.5,S
459,2nd,male,42.0,1,0,27.0,S
460,2nd,female,24.0,2,1,27.0,S
461,2nd,male,47.0,0,0,15.0,S
462,2nd,male,24.0,2,0,31.5,S
463,2nd,male,22.0,2,0,31.5,S
464,2nd,male,32.0,0,0,10.5,S
465,2nd,female,23.0,0,0,13.7917,C
466,2nd,male,34.0,1,0,26.0,S
467,2nd,female,24.0,1,0,26.0,S
468,2nd,female,22.0,0,0,21.0,S
469,2nd,female,28.0,0,0,12.35,Q
470,2nd,male,35.0,0,0,12.35,Q
471,2nd,female,45.0,0,0,13.5,S
472,2nd,male,57.0,0,0,12.35,Q
473,2nd,male,28.0,0,0,0.0,S
474,2nd,male,31.0,0,0,10.5,S
475,2nd,female,26.0,1,1,26.0,S
476,2nd,male,30.0,1,1,26.0,S
477,2nd,male,28.0,0,0,10.7083,Q
478,2nd,female,1.0,1,2,41.5792,C
479,2nd,female,3.0,1,2,41.5792,C
480,2nd,male,25.0,1,2,41.5792,C
481,2nd,female,22.0,1,2,41.5792,C
482,2nd,female,17.0,0,0,12.0,C
483,2nd,female,28.0,0,0,33.0,S
484,2nd,female,34.0,0,0,10.5,S
485,2nd,male,36.0,0,0,12.875,C
486,2nd,male,24.0,0,0,10.5,S
487,2nd,male,61.0,0,0,12.35,Q
488,2nd,male,50.0,1,0,26.0,S
489,2nd,female,42.0,1,0,26.0,S
490,2nd,female,57.0,0,0,10.5,S
491,2nd,male,28.0,0,0,15.0458,C
492,2nd,male,1.0,0,2,37.0042,C
493,2nd,male,31.0,1,1,37.0042,C
494,2nd,female,24.0,1,1,37.0042,C
495,2nd,male,28.0,0,0,15.5792,C
496,2nd,male,30.0,0,0,13.0,S
497,2nd,male,40.0,0,0,16.0,S
498,2nd,male,32.0,0,0,13.5,S
499,2nd,male,30.0,0,0,13.0,S
500,2nd,male,46.0,0,0,26.0,S
501,2nd,female,13.0,0,1,19.5,S
502,2nd,female,41.0,0,1,19.5,S
503,2nd,male,19.0,0,0,10.5,S
504,2nd,male,39.0,0,0,13.0,S
505,2nd,male,48.0,0,0,13.0,S
506,2nd,male,70.0,0,0,10.5,S
507,2nd,male,27.0,0,0,13.0,S
508,2nd,male,54.0,0,0,14.0,S
509,2nd,male,39.0,0,0,26.0,S
510,2nd,male,16.0,0,0,10.5,S
511,2nd,male,62.0,0,0,9.6875,Q
512,2nd,male,32.5,1,0,30.0708,C
513,2nd,female,14.0,1,0,30.0708,C
514,2nd,male,2.0,1,1,26.0,S
515,2nd,male,3.0,1,1,26.0,S
516,2nd,male,36.5,0,2,26.0,S
517,2nd,male,26.0,0,0,13.0,S
518,2nd,male,19.0,1,1,36.75,S
519,2nd,male,28.0,0,0,13.5,S
520,2nd,male,20.0,0,0,13.8625,C
521,2nd,female,29.0,0,0,10.5,S
522,2nd,male,39.0,0,0,13.0,S
523,2nd,male,22.0,0,0,10.5,S
524,2nd,male,28.0,0,0,13.8625,C
525,2nd,male,23.0,0,0,10.5,S
526,2nd,male,29.0,0,0,13.8583,C
527,2nd,male,28.0,0,0,10.5,S
528,2nd,male,28.0,0,0,0.0,S
529,2nd,female,50.0,0,1,26.0,S
530,2nd,male,19.0,0,0,10.5,S
531,2nd,male,28.0,0,0,15.05,C
532,2nd,male,41.0,0,0,13.0,S
533,2nd,female,21.0,0,1,21.0,S
534,2nd,female,19.0,0,0,26.0,S
535,2nd,male,43.0,0,1,21.0,S
536,2nd,female,32.0,0,0,13.0,S
537,2nd,male,34.0,0,0,13.0,S
538,2nd,male,30.0,0,0,12.7375,C
539,2nd,male,27.0,0,0,15.0333,C
540,2nd,female,2.0,1,1,26.0,S
541,2nd,female,8.0,1,1,26.0,S
542,2nd,female,33.0,0,2,26.0,S
543,2nd,male,36.0,0,0,10.5,S
544,2nd,male,34.0,1,0,21.0,S
545,2nd,female,30.0,3,0,21.0,S
546,2nd,female,28.0,0,0,13.0,S
547,2nd,male,23.0,0,0,15.0458,C
548,2nd,male,0.8333,1,1,18.75,S
549,2nd,male,3.0,1,1,18.75,S
550,2nd,female,24.0,2,3,18.75,S
551,2nd,female,50.0,0,0,10.5,S
552,2nd,male,19.0,0,0,10.5,S
553,2nd,female,21.0,0,0,10.5,S
554,2nd,male,26.0,0,0,13.0,S
555,2nd,male,25.0,0,0,13.0,S
556,2nd,male,27.0,0,0,26.0,S
557,2nd,female,25.0,0,1,26.0,S
558,2nd,female,18.0,0,2,13.0,S
559,2nd,female,20.0,0,0,36.75,S
560,2nd,female,30.0,0,0,13.0,S
561,2nd,male,59.0,0,0,13.5,S
562,2nd,female,30.0,0,0,12.35,Q
563,2nd,male,35.0,0,0,10.5,S
564,2nd,female,40.0,0,0,13.0,S
565,2nd,male,25.0,0,0,13.0,S
566,2nd,male,41.0,0,0,15.0458,C
567,2nd,male,25.0,0,0,10.5,S
568,2nd,male,18.5,0,0,13.0,S
569,2nd,male,14.0,0,0,65.0,S
570,2nd,female,50.0,0,0,10.5,S
571,2nd,male,23.0,0,0,13.0,S
572,2nd,female,28.0,0,0,12.65,S
573,2nd,female,27.0,0,0,10.5,S
574,2nd,male,29.0,1,0,21.0,S
575,2nd,female,27.0,1,0,21.0,S
576,2nd,male,40.0,0,0,13.0,S
577,2nd,female,31.0,0,0,21.0,S
578,2nd,male,30.0,1,0,21.0,S
579,2nd,male,23.0,1,0,10.5,S
580,2nd,female,31.0,0,0,21.0,S
581,2nd,male,28.0,0,0,0.0,S
582,2nd,female,12.0,0,0,15.75,S
583,2nd,female,40.0,0,0,15.75,S
584,2nd,female,32.5,0,0,13.0,S
585,2nd,male,27.0,1,0,26.0,S
586,2nd,female,29.0,1,0,26.0,S
587,2nd,male,2.0,1,1,23.0,S
588,2nd,female,4.0,1,1,23.0,S
589,2nd,female,29.0,0,2,23.0,S
590,2nd,female,0.9167,1,2,27.75,S
591,2nd,female,5.0,1,2,27.75,S
592,2nd,male,36.0,1,2,27.75,S
593,2nd,female,33.0,1,2,27.75,S
594,2nd,male,66.0,0,0,10.5,S
595,2nd,male,28.0,0,0,12.875,S
596,2nd,male,31.0,0,0,13.0,S
597,2nd,male,28.0,0,0,13.0,S
598,2nd,female,26.0,0,0,13.5,S
599,2nd,female,24.0,0,0,13.0,S
600,3rd,male,42.0,0,0,7.55,S
601,3rd,male,13.0,0,2,20.25,S
602,3rd,male,16.0,1,1,20.25,S
603,3rd,female,35.0,1,1,20.25,S
604,3rd,female,16.0,0,0,7.65,S
605,3rd,male,25.0,0,0,7.65,S
606,3rd,male,20.0,0,0,7.925,S
607,3rd,female,18.0,0,0,7.2292,C
608,3rd,male,30.0,0,0,7.25,S
609,3rd,male,26.0,0,0,8.05,S
610,3rd,female,40.0,1,0,9.475,S
611,3rd,male,0.8333,0,1,9.35,S
612,3rd,female,18.0,0,1,9.35,S
613,3rd,male,26.0,0,0,18.7875,C
614,3rd,male,26.0,0,0,7.8875,S
615,3rd,male,20.0,0,0,7.925,S
616,3rd,male,24.0,0,0,7.05,S
617,3rd,male,25.0,0,0,7.05,S
618,3rd,male,35.0,0,0,8.05,S
619,3rd,male,18.0,0,0,8.3,S
620,3rd,male,32.0,0,0,22.525,S
621,3rd,female,19.0,1,0,7.8542,S
622,3rd,male,4.0,4,2,31.275,S
623,3rd,female,6.0,4,2,31.275,S
624,3rd,female,2.0,4,2,31.275,S
625,3rd,female,17.0,4,2,7.925,S
626,3rd,female,38.0,4,2,7.775,S
627,3rd,female,9.0,4,2,31.275,S
628,3rd,female,11.0,4,2,31.275,S
629,3rd,male,39.0,1,5,31.275,S
630,3rd,male,27.0,0,0,7.7958,S
631,3rd,male,26.0,0,0,7.775,S
632,3rd,female,39.0,1,5,31.275,S
633,3rd,male,20.0,0,0,7.8542,S
634,3rd,male,26.0,0,0,7.8958,S
635,3rd,male,25.0,1,0,17.8,S
636,3rd,female,18.0,1,0,17.8,S
637,3rd,male,24.0,0,0,7.775,S
638,3rd,male,35.0,0,0,7.05,S
639,3rd,male,5.0,4,2,31.3875,S
